,nmi,rand,sj,fs,method
15669,0.8504343636069734,0.9611821540210288,112.0,0.8031410427706868,Oslom
15670,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Louvain
15671,0.9498589839206251,0.9869944112910863,28.0,0.9440061774533133,Directed Louvain
15672,0.8562575751037375,0.9420574026712134,124.0,0.8110973840055625,Leiden
15673,0.9760458694512708,0.9949606895898455,28.0,0.952994261774872,Infomap
15674,0.8256677823671822,0.9541346973572038,137.0,0.7629361437539319,Oslom
15675,0.9822848070079093,0.9942881500426256,8.0,0.9830740332548523,Louvain
15676,0.9498589839206251,0.9869944112910863,28.0,0.9440061774533133,Directed Louvain
15677,0.8516153349502525,0.940200814625367,116.0,0.8094913255857157,Leiden
15678,0.9776945258510391,0.9954911433172302,29.0,0.9531199986410394,Infomap
15679,0.8483429493209439,0.9438003220611917,102.0,0.8128306904856203,Oslom
15680,0.9849716187123966,0.9971961731552522,8.0,0.9834894308665476,Louvain
15681,0.9432916114982082,0.9873259448707018,46.0,0.924408557418389,Directed Louvain
15682,0.8479729824272881,0.9389125698588614,115.0,0.8059801885916369,Leiden
15683,0.9842819143475724,0.9964383821161313,20.0,0.9674656762603266,Infomap
15684,0.8970677752303835,0.9753717912285687,68.0,0.8716841642986201,Oslom
15685,1.0,0.9999999999999999,0.0,1.0,Louvain
15686,0.9557771891841329,0.989021502320735,26.0,0.948778830444006,Directed Louvain
15687,0.8685084734796565,0.9441886899687412,106.0,0.8253508253150543,Leiden
15688,0.9995768586960145,0.999990527612011,1.0,0.9989118607181718,Infomap
15689,0.8680423311460621,0.9660225442834138,96.0,0.827967635767161,Oslom
15690,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Louvain
15691,0.9490989794673214,0.9876574784503174,28.0,0.9438990943191609,Directed Louvain
15692,0.8718616113913134,0.9499668466420383,104.0,0.8276912976203642,Leiden
15693,0.9697945320115116,0.9926210097565598,41.0,0.9354712664339463,Infomap
15694,0.8803550885565357,0.9672728994979636,87.0,0.8443505175777304,Oslom
15695,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Louvain
15696,0.9675582408038129,0.9927062612484606,20.0,0.9606722974072153,Directed Louvain
15697,0.8403029661603078,0.9345457989959269,124.0,0.7993265826234814,Leiden
15698,0.983864598086738,0.9964289097281425,21.0,0.9663874183337793,Infomap
15699,0.8533884575878203,0.9598276025385999,104.0,0.8093046607120472,Oslom
15700,0.9303331169733218,0.9799658994032395,44.0,0.9177046695154358,Louvain
15701,0.9582355401727768,0.9900066306715922,24.0,0.9523945734352958,Directed Louvain
15702,0.8733795964097145,0.9451264563796533,105.0,0.8312130699345796,Leiden
15703,0.9760458694512708,0.9949606895898455,28.0,0.952994261774872,Infomap
15704,0.8455839267172757,0.9585109406081274,115.0,0.7910576617896642,Oslom
15705,1.0,0.9999999999999999,0.0,1.0,Louvain
15706,0.9174290308593697,0.9785355688168987,62.0,0.894397931840505,Directed Louvain
15707,0.866807842116381,0.9425215496826751,106.0,0.8251497896058813,Leiden
15708,1.0,1.0,0.0,1.0,Infomap
15709,0.8342514124117895,0.9603391114900067,112.0,0.7974892793953815,Oslom
15710,0.9822848070079093,0.9942881500426256,8.0,0.9830740332548523,Louvain
15711,0.8901285769864973,0.9574026712134128,82.0,0.8600046744911559,Directed Louvain
15712,0.9172192242537867,0.9717912285687222,52.0,0.904140152607617,Leiden
15713,0.9760458694512708,0.9949606895898455,28.0,0.952994261774872,Infomap
15714,0.8376839734921909,0.9616273562565123,108.0,0.8035122986470876,Oslom
15715,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Louvain
15716,0.9410028268791126,0.9863123993558776,48.0,0.9209831553558582,Directed Louvain
15717,0.8527917495961461,0.9409586056644881,114.0,0.8117632494346138,Leiden
15718,0.9760458694512708,0.9949606895898455,28.0,0.952994261774872,Infomap
15719,0.8892711324113999,0.973998294970162,73.0,0.8632615056900979,Oslom
15720,0.9906643818857105,0.9973003694231315,4.0,0.9914625166082559,Louvain
15721,0.9440173465467677,0.987430141138581,42.0,0.9278466895436432,Directed Louvain
15722,0.8692527273967474,0.9397556123898836,101.0,0.8362872549520926,Leiden
15723,0.9842819143475724,0.9964383821161313,20.0,0.9674656762603266,Infomap
15724,0.8537835594259271,0.9584351615042153,97.0,0.821153396831693,Oslom
15725,1.0,0.9999999999999999,0.0,1.0,Louvain
15726,0.9675582408038129,0.9927062612484606,20.0,0.9606722974072153,Directed Louvain
15727,0.8838910682521786,0.9544757033248082,87.0,0.8467801904964731,Leiden
15728,0.9781873361120789,0.9955006157052192,27.0,0.9557612440216277,Infomap
15729,0.8397972154863567,0.9619967793880838,114.0,0.7994742607379134,Oslom
15730,1.0,0.9999999999999999,0.0,1.0,Louvain
