,nmi,rand,sj,fs,method
169,1.0,1.0,0.0,1.0,Oslom
170,1.0,1.0,0.0,1.0,Louvain
171,1.0,1.0,0.0,1.0,Directed Louvain
172,0.9907127241286883,0.9976436436436437,29.0,0.980329108334505,Leiden
173,1.0,1.0,0.0,1.0,Infomap
174,1.0,1.0,0.0,1.0,Oslom
175,1.0,1.0,0.0,1.0,Louvain
176,1.0,1.0,0.0,1.0,Directed Louvain
177,0.9922267463048736,0.9978898898898898,27.0,0.982579653027463,Leiden
178,1.0,1.0,0.0,1.0,Infomap
179,1.0,1.0,0.0,1.0,Oslom
180,1.0,1.0,0.0,1.0,Louvain
181,1.0,1.0,0.0,1.0,Directed Louvain
182,0.983398409587065,0.9951851851851852,59.0,0.9621325697035852,Leiden
183,1.0,1.0,0.0,1.0,Infomap
184,1.0,1.0,0.0,1.0,Oslom
185,1.0,1.0,0.0,1.0,Louvain
186,1.0,1.0,0.0,1.0,Directed Louvain
187,0.9778296059988862,0.9945265265265265,81.0,0.949572890862887,Leiden
188,1.0,1.0,0.0,1.0,Infomap
189,1.0,1.0,0.0,1.0,Oslom
190,0.993644245514724,0.99802002002002,23.0,0.9847871898601777,Louvain
191,1.0,1.0,0.0,1.0,Directed Louvain
192,0.992806712940044,0.9982302302302302,25.0,0.9839751127354611,Leiden
193,1.0,1.0,0.0,1.0,Infomap
194,1.0,1.0,0.0,1.0,Oslom
195,0.9936419810016126,0.9980940940940941,28.0,0.984405713536889,Louvain
196,0.9932681737623734,0.9977977977977978,25.0,0.98379970544919,Directed Louvain
197,0.9922267463048736,0.9978898898898898,27.0,0.982579653027463,Leiden
198,1.0,1.0,0.0,1.0,Infomap
199,1.0,1.0,0.0,1.0,Oslom
200,0.9915215438493353,0.9966126126126126,36.0,0.9791902395828208,Louvain
201,0.9849685946766703,0.9947227227227227,64.0,0.9627339080016942,Directed Louvain
202,0.9738072105776469,0.992056056056056,96.0,0.9392301998527661,Leiden
203,1.0,1.0,0.0,1.0,Infomap
204,1.0,1.0,0.0,1.0,Oslom
